base_term,term,PMID,Year,DP,TA,JT
Southern Blot,"""Southern Blot""",9375031,1997,1997 May,Hematol Oncol,Hematological oncology
Southern Blot,"""Southern Blot""",9229331,1997,1997 May-Jun,J Med Vet Mycol,Journal of medical and veterinary mycology : bi-monthly publication of the International Society for Human and Animal Mycology
Southern Blot,"""Southern Blot""",9228208,1997,1997 May,Horm Metab Res,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme
Southern Blot,"""Southern Blot""",9207839,1997,1997 May,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9203057,1997,1997 May-Jun,J Androl,Journal of andrology
Southern Blot,"""Southern Blot""",9195165,1997,1997 May,Eur J Surg,The European journal of surgery = Acta chirurgica
Southern Blot,"""Southern Blot""",9193068,1997,1997 May,Plant J,The Plant journal : for cell and molecular biology
Southern Blot,"""Southern Blot""",9192499,1997,1997 May,J Exp Biol,The Journal of experimental biology
Southern Blot,"""Southern Blot""",9180924,1997,1997 May,Mol Carcinog,Molecular carcinogenesis
Southern Blot,"""Southern Blot""",9180303,1997,1997 May,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9180289,1997,1997 May,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9177310,1997,1997 May,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9174167,1997,1997 May,DNA Cell Biol,DNA and cell biology
Southern Blot,"""Southern Blot""",9164185,1997,1997 May,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
Southern Blot,"""Southern Blot""",9163874,1997,1997 May,Vet Pathol,Veterinary pathology
Southern Blot,"""Southern Blot""",9161705,1997,1997 May,Biochem Mol Biol Int,Biochemistry and molecular biology international
Southern Blot,"""Southern Blot""",9150732,1997,1997 May,Hum Genet,Human genetics
Southern Blot,"""Southern Blot""",9150484,1997,1997 May,Kidney Int,Kidney international
Southern Blot,"""Southern Blot""",9150472,1997,1997 May,Kidney Int,Kidney international
Southern Blot,"""Southern Blot""",9139909,1997,1997 May,J Bacteriol,Journal of bacteriology
Southern Blot,"""Southern Blot""",9136005,1997,1997 May,Genetics,Genetics
Southern Blot,"""Southern Blot""",9136001,1997,1997 May,Genetics,Genetics
Southern Blot,"""Southern Blot""",9131626,1997,1997 May,Nat Biotechnol,Nature biotechnology
Southern Blot,"""Southern Blot""",9128271,1997,1997 May,Am J Clin Pathol,American journal of clinical pathology
Southern Blot,"""Southern Blot""",9112579,1997,1997 May,J Urol,The Journal of urology
Southern Blot,"""Southern Blot""",9094265,1997,1997 May,Pflugers Arch,Pflugers Archiv : European journal of physiology
Southern Blot,"""Southern Blot""",9199253,1997,1997 May 30,Biochim Biophys Acta,Biochimica et biophysica acta
Southern Blot,"""Southern Blot""",9210591,1997,1997 May 20,Gene,Gene
Southern Blot,"""Southern Blot""",9144225,1997,1997 May 13,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America
Southern Blot,"""Southern Blot""",9197544,1997,1997 May 6,Gene,Gene
Southern Blot,"""Southern Blot""",9177476,1997,1997 May 2,Biochim Biophys Acta,Biochimica et biophysica acta
Southern Blot,"""Southern Blot""",9812595,1997,1997 May,Zhonghua Yu Fang Yi Xue Za Zhi,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine]
Southern Blot,"""Southern Blot""",9216647,1997,1997 May-Jun,Anticancer Res,Anticancer research
Southern Blot,"""Southern Blot""",9216635,1997,1997 May-Jun,Anticancer Res,Anticancer research
Southern Blot,"""Southern Blot""",9207854,1997,1997 May,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9207848,1997,1997 May,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9207846,1997,1997 May,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9207844,1997,1997 May,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9196798,1997,1997 May,Am J Reprod Immunol,"American journal of reproductive immunology (New York, N.Y. : 1989)"
Southern Blot,"""Southern Blot""",9194527,1997,1997 May,FASEB J,FASEB journal : official publication of the Federation of American Societies for Experimental Biology
Southern Blot,"""Southern Blot""",9180302,1997,1997 May,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9163606,1997,1997 May,Br J Haematol,British journal of haematology
Southern Blot,"""Southern Blot""",9160790,1997,1997 May,Am J Hypertens,American journal of hypertension
Southern Blot,"""Southern Blot""",9158710,1997,1997 May,Hum Pathol,Human pathology
Southern Blot,"""Southern Blot""",9152427,1997,1997 May,J Gen Virol,The Journal of general virology
Southern Blot,"""Southern Blot""",9150743,1997,1997 May,Hum Genet,Human genetics
Southern Blot,"""Southern Blot""",9146571,1997,1997 May,J Am Acad Dermatol,Journal of the American Academy of Dermatology
Southern Blot,"""Southern Blot""",9144316,1997,1997 May,Mol Cell Biochem,Molecular and cellular biochemistry
Southern Blot,"""Southern Blot""",9143113,1997,1997 May,Appl Environ Microbiol,Applied and environmental microbiology
Southern Blot,"""Southern Blot""",9136917,1997,1997 May,Am J Hematol,American journal of hematology
Southern Blot,"""Southern Blot""",9134998,1997,1997 May 1,Cancer Res,Cancer research
Southern Blot,"""Southern Blot""",9126983,1997,1997 May 1,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)"
Southern Blot,"""Southern Blot""",9114383,1997,1997 May,J Clin Microbiol,Journal of clinical microbiology
Southern Blot,"""Southern Blot""",9094671,1997,1997 May,J Virol,Journal of virology
Southern Blot,"""Southern Blot""",9163747,1997,1997 Apr 30,Mol Cells,Molecules and cells
Southern Blot,"""Southern Blot""",9126924,1997,1997 Apr 21,J Exp Med,The Journal of experimental medicine
Southern Blot,"""Southern Blot""",9118038,1997,1997 Apr 15,Cancer,Cancer
Southern Blot,"""Southern Blot""",9118036,1997,1997 Apr 15,Cancer,Cancer
Southern Blot,"""Southern Blot""",9108448,1997,1997 Apr 15,Cancer Res,Cancer research
Southern Blot,"""Southern Blot""",9161412,1997,1997 Apr 11,Gene,Gene
Southern Blot,"""Southern Blot""",9144386,1997,1997 Apr 7,Biochem Biophys Res Commun,Biochemical and biophysical research communications
Southern Blot,"""Southern Blot""",9083055,1997,1997 Apr 4,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",21533438,1997,1997 Apr,Int J Oncol,International journal of oncology
Southern Blot,"""Southern Blot""",10374281,1997,1997 Apr,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi
Southern Blot,"""Southern Blot""",9247649,1997,1997 Apr,Mol Biol Cell,Molecular biology of the cell
Southern Blot,"""Southern Blot""",9231154,1997,1997 Apr,Mol Pathol,Molecular pathology : MP
Southern Blot,"""Southern Blot""",9209394,1997,1997 Apr,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9202669,1997,1997 Apr,J Surg Res,The Journal of surgical research
Southern Blot,"""Southern Blot""",9163950,1997,1997 Apr,Appl Microbiol Biotechnol,Applied microbiology and biotechnology
Southern Blot,"""Southern Blot""",9163516,1997,1997 Apr,J Biochem,Journal of biochemistry
Southern Blot,"""Southern Blot""",9160190,1997,1997 Apr,Dis Markers,Disease markers
Southern Blot,"""Southern Blot""",9159528,1997,1997 Apr,Mol Microbiol,Molecular microbiology
Southern Blot,"""Southern Blot""",9154991,1997,1997 Apr,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9150425,1997,1997 Apr,DNA Cell Biol,DNA and cell biology
Southern Blot,"""Southern Blot""",9147045,1997,1997 Apr,Glycobiology,Glycobiology
Southern Blot,"""Southern Blot""",9144917,1997,1997 Apr,Zentralbl Bakteriol,Zentralblatt fur Bakteriologie : international journal of medical microbiology
Southern Blot,"""Southern Blot""",9138160,1997,1997 Apr,J Med Genet,Journal of medical genetics
Southern Blot,"""Southern Blot""",9138156,1997,1997 Apr,J Med Genet,Journal of medical genetics
Southern Blot,"""Southern Blot""",9133590,1997,1997 Apr 1,Gene,Gene
Southern Blot,"""Southern Blot""",9131272,1997,1997 Apr,Breast Cancer Res Treat,Breast cancer research and treatment
Southern Blot,"""Southern Blot""",9126788,1997,1997 Apr,J Hepatol,Journal of hepatology
Southern Blot,"""Southern Blot""",9126178,1997,1997 Apr,J Dent Res,Journal of dental research
Southern Blot,"""Southern Blot""",9116300,1997,1997 Apr 1,Blood,Blood
Southern Blot,"""Southern Blot""",9113000,1997,1997 Apr,Invest Ophthalmol Vis Sci,Investigative ophthalmology & visual science
Southern Blot,"""Southern Blot""",9105680,1997,1997 Apr,Brain Res Mol Brain Res,Brain research. Molecular brain research
Southern Blot,"""Southern Blot""",9103405,1997,1997 Apr,Gynecol Oncol,Gynecologic oncology
Southern Blot,"""Southern Blot""",9100573,1997,1997 Apr,J Clin Endocrinol Metab,The Journal of clinical endocrinology and metabolism
Southern Blot,"""Southern Blot""",9097431,1997,1997 Apr,Appl Environ Microbiol,Applied and environmental microbiology
Southern Blot,"""Southern Blot""",9096417,1997,1997 Apr 1,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America
Southern Blot,"""Southern Blot""",9096103,1997,1997 Apr,Mamm Genome,Mammalian genome : official journal of the International Mammalian Genome Society
Southern Blot,"""Southern Blot""",9083275,1997,1997 Apr,Kidney Int,Kidney international
Southern Blot,"""Southern Blot""",9060699,1997,1997 Apr,J Virol,Journal of virology
Southern Blot,"""Southern Blot""",9060687,1997,1997 Apr,J Virol,Journal of virology
Southern Blot,"""Southern Blot""",9165094,1997,1997 Apr 25,Biochim Biophys Acta,Biochimica et biophysica acta
Southern Blot,"""Southern Blot""",9168138,1997,1997 Apr 21,Gene,Gene
Southern Blot,"""Southern Blot""",9150258,1997,1997 Apr 16,Mol Gen Genet,Molecular & general genetics : MGG
Southern Blot,"""Southern Blot""",9143508,1997,1997 Apr 15,Genomics,Genomics
Southern Blot,"""Southern Blot""",9143498,1997,1997 Apr 15,Genomics,Genomics
Southern Blot,"""Southern Blot""",9103460,1997,1997 Apr 15,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)"
Southern Blot,"""Southern Blot""",9092585,1997,1997 Apr 11,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",9130594,1997,1997 Apr 10,Biochim Biophys Acta,Biochimica et biophysica acta
Southern Blot,"""Southern Blot""",10374282,1997,1997 Apr,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi
Southern Blot,"""Southern Blot""",9316589,1997,1997 Apr,Exp Mol Pathol,Experimental and molecular pathology
Southern Blot,"""Southern Blot""",9241435,1997,1997 Apr,Biochem Genet,Biochemical genetics
Southern Blot,"""Southern Blot""",9209377,1997,1997 Apr,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9209301,1997,1997 Apr,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9196436,1997,1997 Apr,J Pathol,The Journal of pathology
Southern Blot,"""Southern Blot""",9196434,1997,1997 Apr,J Pathol,The Journal of pathology
Southern Blot,"""Southern Blot""",9177031,1997,1997 Apr,Plant Cell Physiol,Plant & cell physiology
Southern Blot,"""Southern Blot""",9174543,1997,1997 Apr,Ann Hematol,Annals of hematology
Southern Blot,"""Southern Blot""",9168447,1997,1997 Apr,Leuk Lymphoma,Leukemia & lymphoma
Southern Blot,"""Southern Blot""",9154988,1997,1997 Apr,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9154986,1997,1997 Apr,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9154984,1997,1997 Apr,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9146912,1997,1997 Apr,Chromosome Res,"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology"
Southern Blot,"""Southern Blot""",9136945,1997,1997 Apr,Br J Haematol,British journal of haematology
Southern Blot,"""Southern Blot""",9126809,1997,1997 Apr,J Hepatol,Journal of hepatology
Southern Blot,"""Southern Blot""",9110173,1997,1997 Apr,Genome Res,Genome research
Southern Blot,"""Southern Blot""",9109790,1997,1997 Apr,Arch Otolaryngol Head Neck Surg,Archives of otolaryngology--head & neck surgery
Southern Blot,"""Southern Blot""",9103980,1997,1997 Apr 1,FEMS Microbiol Lett,FEMS microbiology letters
Southern Blot,"""Southern Blot""",9102226,1997,1997 Apr 1,Cancer Res,Cancer research
Southern Blot,"""Southern Blot""",9099835,1997,1997 Apr,Hum Genet,Human genetics
Southern Blot,"""Southern Blot""",9092690,1997,1997 Apr,Am J Hematol,American journal of hematology
Southern Blot,"""Southern Blot""",9092686,1997,1997 Apr,Am J Hematol,American journal of hematology
Southern Blot,"""Southern Blot""",9079904,1997,1997 Apr,J Bacteriol,Journal of bacteriology
Southern Blot,"""Southern Blot""",9099870,1997,1997 Mar 25,Gene,Gene
Southern Blot,"""Southern Blot""",9099854,1997,1997 Mar 25,Gene,Gene
Southern Blot,"""Southern Blot""",9099890,1997,1997 Mar 18,Gene,Gene
Southern Blot,"""Southern Blot""",9058738,1997,1997 Mar 15,Blood,Blood
Southern Blot,"""Southern Blot""",9058714,1997,1997 Mar 15,Blood,Blood
Southern Blot,"""Southern Blot""",9073078,1997,1997 Mar 10,Gene,Gene
Southern Blot,"""Southern Blot""",9118956,1997,1997 Mar 3,EMBO J,The EMBO journal
Southern Blot,"""Southern Blot""",9264820,1997,1997 Mar,Bratisl Lek Listy,Bratislavske lekarske listy
Southern Blot,"""Southern Blot""",9213402,1997,1997 Mar,Laryngorhinootologie,Laryngo- rhino- otologie
Southern Blot,"""Southern Blot""",9195159,1997,1997 Mar-Apr,Eur J Hum Genet,European journal of human genetics : EJHG
Southern Blot,"""Southern Blot""",9181015,1997,1997 Mar,Arch Pediatr,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie
Southern Blot,"""Southern Blot""",9143739,1997,1997 Mar,Arch Dermatol Res,Archives of dermatological research
Southern Blot,"""Southern Blot""",9139081,1997,1997 Mar,J Med Virol,Journal of medical virology
Southern Blot,"""Southern Blot""",9132066,1997,1997 Mar,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9115644,1997,1997 Mar,DNA Cell Biol,DNA and cell biology
Southern Blot,"""Southern Blot""",9106511,1997,1997 Mar,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9105471,1997,1997 Mar,Acta Otolaryngol,Acta oto-laryngologica
Southern Blot,"""Southern Blot""",9093144,1997,1997 Mar,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica
Southern Blot,"""Southern Blot""",9090064,1997,1997 Mar,Transgenic Res,Transgenic research
Southern Blot,"""Southern Blot""",9085571,1997,1997 Mar,Plant Physiol,Plant physiology
Southern Blot,"""Southern Blot""",9075219,1997,1997 Mar,Microb Pathog,Microbial pathogenesis
Southern Blot,"""Southern Blot""",9073500,1997,1997 Mar,Gen Comp Endocrinol,General and comparative endocrinology
Southern Blot,"""Southern Blot""",9071316,1997,1997 Mar,J Histochem Cytochem,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society
Southern Blot,"""Southern Blot""",9067911,1997,1997 Mar,Kidney Int,Kidney international
Southern Blot,"""Southern Blot""",9062390,1997,1997 Mar,Clin Exp Metastasis,Clinical & experimental metastasis
Southern Blot,"""Southern Blot""",9057330,1997,1997 Mar,Mol Plant Microbe Interact,Molecular plant-microbe interactions : MPMI
Southern Blot,"""Southern Blot""",9056463,1997,1997 Mar,J Invertebr Pathol,Journal of invertebrate pathology
Southern Blot,"""Southern Blot""",9050914,1997,1997 Mar,Hum Genet,Human genetics
Southern Blot,"""Southern Blot""",9041439,1997,1997 Mar,J Clin Microbiol,Journal of clinical microbiology
Southern Blot,"""Southern Blot""",9041413,1997,1997 Mar,J Clin Microbiol,Journal of clinical microbiology
Southern Blot,"""Southern Blot""",9079712,1997,1997 Mar 28,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",9099863,1997,1997 Mar 25,Gene,Gene
Southern Blot,"""Southern Blot""",9125199,1997,1997 Mar 17,Biochem Biophys Res Commun,Biochemical and biophysical research communications
Southern Blot,"""Southern Blot""",9056561,1997,1997 Mar 17,Am J Med Genet,American journal of medical genetics
Southern Blot,"""Southern Blot""",9058723,1997,1997 Mar 15,Blood,Blood
Southern Blot,"""Southern Blot""",9121776,1997,1997 Mar 13,Oncogene,Oncogene
Southern Blot,"""Southern Blot""",30727650,1997,1997 Mar,Plant Cell Rep,Plant cell reports
Southern Blot,"""Southern Blot""",22061477,1997,1997 Mar,Meat Sci,Meat science
Southern Blot,"""Southern Blot""",15619895,1997,1997 Mar,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,Zhonghua shi yan he lin chuang bing du xue za zhi = Zhonghua shiyan he linchuang bingduxue zazhi = Chinese journal of experimental and clinical virology
Southern Blot,"""Southern Blot""",10743082,1997,1997 Mar,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology]
Southern Blot,"""Southern Blot""",10684112,1997,1997 Mar,Shi Yan Sheng Wu Xue Bao,Shi yan sheng wu xue bao
Southern Blot,"""Southern Blot""",10684062,1997,1997 Mar,Hua Xi Yi Ke Da Xue Xue Bao,Hua xi yi ke da xue xue bao = Journal of West China University of Medical Sciences = Huaxi yike daxue xuebao
Southern Blot,"""Southern Blot""",10462589,1997,1997 Mar,Mol Diagn,Molecular diagnosis : a journal devoted to the understanding of human disease through the clinical application of molecular biology
Southern Blot,"""Southern Blot""",9217419,1997,1997 Mar,Rinsho Shinkeigaku,Rinsho shinkeigaku = Clinical neurology
Southern Blot,"""Southern Blot""",9198329,1997,1997 Mar,J Nihon Univ Sch Dent,The Journal of Nihon University School of Dentistry
Southern Blot,"""Southern Blot""",9183996,1997,1997 Mar,Jpn J Hum Genet,The Japanese journal of human genetics
Southern Blot,"""Southern Blot""",9177117,1997,1997 Mar,Ann Hum Genet,Annals of human genetics
Southern Blot,"""Southern Blot""",9157641,1997,1997 Mar-Apr,Tsitol Genet,TSitologiia i genetika
Southern Blot,"""Southern Blot""",9155745,1997,1997 Mar,J Reprod Fertil,Journal of reproduction and fertility
Southern Blot,"""Southern Blot""",9155671,1997,1997 Mar,J Clin Pathol,Journal of clinical pathology
Southern Blot,"""Southern Blot""",9150605,1997,1997 Mar,Plant Cell Physiol,Plant & cell physiology
Southern Blot,"""Southern Blot""",9137884,1997,1997 Mar,Clin Genet,Clinical genetics
Southern Blot,"""Southern Blot""",9132069,1997,1997 Mar,Plant Mol Biol,Plant molecular biology
Southern Blot,"""Southern Blot""",9128014,1997,1997 Mar,Kansenshogaku Zasshi,Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases
Southern Blot,"""Southern Blot""",9119030,1997,1997 Mar 1,Eur J Biochem,European journal of biochemistry
Southern Blot,"""Southern Blot""",9115585,1997,1997 Mar,Mol Carcinog,Molecular carcinogenesis
Southern Blot,"""Southern Blot""",9107042,1997,1997 Mar,Plant J,The Plant journal : for cell and molecular biology
Southern Blot,"""Southern Blot""",9093835,1997,1997 Mar,FEMS Immunol Med Microbiol,FEMS immunology and medical microbiology
Southern Blot,"""Southern Blot""",9086531,1997,1997 Mar-Apr,Pediatr Pathol Lab Med,"Pediatric pathology & laboratory medicine : journal of the Society for Pediatric Pathology, affiliated with the International Paediatric Pathology Association"
Southern Blot,"""Southern Blot""",9085919,1997,1997 Mar,Exp Parasitol,Experimental parasitology
Southern Blot,"""Southern Blot""",9078292,1997,1997 Mar,Cancer Genet Cytogenet,Cancer genetics and cytogenetics
Southern Blot,"""Southern Blot""",9074392,1997,1997 Mar,Arch Neurol,Archives of neurology
Southern Blot,"""Southern Blot""",9067584,1997,1997 Mar,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9066787,1997,1997 Mar,J Cell Physiol,Journal of cellular physiology
Southern Blot,"""Southern Blot""",9065771,1997,1997 Mar 1,Biochem J,The Biochemical journal
Southern Blot,"""Southern Blot""",9060558,1997,1997 Mar,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
Southern Blot,"""Southern Blot""",9057667,1997,1997 Mar 1,Blood,Blood
Southern Blot,"""Southern Blot""",9057321,1997,1997 Mar,Mol Plant Microbe Interact,Molecular plant-microbe interactions : MPMI
Southern Blot,"""Southern Blot""",9056253,1997,1997 Mar 1,Arch Biochem Biophys,Archives of biochemistry and biophysics
Southern Blot,"""Southern Blot""",9055446,1997,1997 Mar,Phytochemistry,Phytochemistry
Southern Blot,"""Southern Blot""",9055436,1997,1997 Mar,Appl Environ Microbiol,Applied and environmental microbiology
Southern Blot,"""Southern Blot""",9054674,1997,1997 Mar,Br J Haematol,British journal of haematology
Southern Blot,"""Southern Blot""",9045804,1997,1997 Mar,J Bacteriol,Journal of bacteriology
Southern Blot,"""Southern Blot""",9041194,1997,1997 Mar 1,Cancer Res,Cancer research
Southern Blot,"""Southern Blot""",9061016,1997,1997 Feb 28,Biochim Biophys Acta,Biochimica et biophysica acta
Southern Blot,"""Southern Blot""",9030609,1997,1997 Feb 21,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",9078273,1997,1997 Feb 15,Biochem J,The Biochemical journal
Southern Blot,"""Southern Blot""",9028935,1997,1997 Feb 15,Blood,Blood
Southern Blot,"""Southern Blot""",9020165,1997,1997 Feb 14,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",9070259,1997,1997 Feb 13,Biochem Biophys Res Commun,Biochemical and biophysical research communications
Southern Blot,"""Southern Blot""",9013565,1997,1997 Feb 7,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",30870895,1997,1997 Feb,Plant Dis,Plant disease
Southern Blot,"""Southern Blot""",30727658,1997,1997 Feb,Plant Cell Rep,Plant cell reports
Southern Blot,"""Southern Blot""",9863195,1997,1997 Feb,Wei Sheng Wu Xue Bao,Wei sheng wu xue bao = Acta microbiologica Sinica
Southern Blot,"""Southern Blot""",9594278,1997,1997 Feb,Chin Med J (Engl),Chinese medical journal
Southern Blot,"""Southern Blot""",9296156,1997,1997 Feb,Rev Neurol (Paris),Revue neurologique
Southern Blot,"""Southern Blot""",9181907,1997,1997 Feb,Arch Ital Urol Androl,"Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica"
Southern Blot,"""Southern Blot""",9175304,1997,1997 Feb,Zhonghua Yi Xue Za Zhi (Taipei),Zhonghua yi xue za zhi = Chinese medical journal; Free China ed
Southern Blot,"""Southern Blot""",9163723,1997,1997 Feb,Mol Biotechnol,Molecular biotechnology
Southern Blot,"""Southern Blot""",9152629,1997,1997 Feb,Endocr J,Endocrine journal
Southern Blot,"""Southern Blot""",9126043,1997,1997 Feb,Arch Pathol Lab Med,Archives of pathology & laboratory medicine
Southern Blot,"""Southern Blot""",9119380,1997,1997 Feb 1,Genomics,Genomics
Southern Blot,"""Southern Blot""",9111587,1997,1997 Feb,Eur J Haematol,European journal of haematology
Southern Blot,"""Southern Blot""",9085022,1997,1997 Feb,Eur J Oral Sci,European journal of oral sciences
Southern Blot,"""Southern Blot""",9070332,1997,1997 Feb,Jpn J Clin Oncol,Japanese journal of clinical oncology
Southern Blot,"""Southern Blot""",9067965,1997,1997 Feb,Melanoma Res,Melanoma research
Southern Blot,"""Southern Blot""",9066984,1997,1997 Feb,Biochem Mol Med,Biochemical and molecular medicine
Southern Blot,"""Southern Blot""",9061921,1997,1997 Feb,Genome,Genome
Southern Blot,"""Southern Blot""",9048913,1997,1997 Feb,Hum Genet,Human genetics
Southern Blot,"""Southern Blot""",9046827,1997,1997 Feb,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine
Southern Blot,"""Southern Blot""",9046825,1997,1997 Feb,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine
Southern Blot,"""Southern Blot""",9046594,1997,1997 Feb,Plant Physiol,Plant physiology
Southern Blot,"""Southern Blot""",9044293,1997,1997 Feb,Mol Microbiol,Molecular microbiology
Southern Blot,"""Southern Blot""",9042293,1997,1997 Feb,Am J Surg Pathol,The American journal of surgical pathology
Southern Blot,"""Southern Blot""",9041944,1997,1997 Feb,Arthritis Rheum,Arthritis and rheumatism
Southern Blot,"""Southern Blot""",9024303,1997,1997 Feb,Gastroenterology,Gastroenterology
Southern Blot,"""Southern Blot""",9021742,1997,1997 Feb,Mol Reprod Dev,Molecular reproduction and development
Southern Blot,"""Southern Blot""",9013961,1997,1997 Feb 1,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)"
Southern Blot,"""Southern Blot""",9009088,1997,1997 Feb,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9009080,1997,1997 Feb,Leukemia,Leukemia
Southern Blot,"""Southern Blot""",9085273,1997,1997 Feb 28,Mol Cells,Molecules and cells
Southern Blot,"""Southern Blot""",9085261,1997,1997 Feb 28,Mol Cells,Molecules and cells
Southern Blot,"""Southern Blot""",9074507,1997,1997 Feb 28,Gene,Gene
Southern Blot,"""Southern Blot""",9038233,1997,1997 Feb 28,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",9079883,1997,1997 Feb 27,Mol Gen Genet,Molecular & general genetics : MGG
Southern Blot,"""Southern Blot""",9047386,1997,1997 Feb 20,Oncogene,Oncogene
Southern Blot,"""Southern Blot""",9055825,1997,1997 Feb 7,Gene,Gene
Southern Blot,"""Southern Blot""",9013614,1997,1997 Feb 7,J Biol Chem,The Journal of biological chemistry
Southern Blot,"""Southern Blot""",30727667,1997,1997 Feb,Plant Cell Rep,Plant cell reports
Southern Blot,"""Southern Blot""",10453548,1997,1997 Feb,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae
Southern Blot,"""Southern Blot""",9812473,1997,1997 Feb,Zhonghua Liu Xing Bing Xue Za Zhi,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi
Southern Blot,"""Southern Blot""",9765792,1997,1997 Feb,Res Microbiol,Research in microbiology
Southern Blot,"""Southern Blot""",9124316,1997,1997 Feb,Am J Physiol,The American journal of physiology
Southern Blot,"""Southern Blot""",9124063,1997,1997 Feb,Acta Paediatr Jpn,Acta paediatrica Japonica : Overseas edition
Southern Blot,"""Southern Blot""",9120722,1997,1997 Feb,J Pathol,The Journal of pathology
Southern Blot,"""Southern Blot""",9115963,1997,1997 Feb,Genes Chromosomes Cancer,"Genes, chromosomes & cancer"
Southern Blot,"""Southern Blot""",9076962,1997,1997 Feb,J Exp Biol,The Journal of experimental biology
Southern Blot,"""Southern Blot""",9071974,1997,1997 Feb,J Endocrinol,The Journal of endocrinology
Southern Blot,"""Southern Blot""",9066743,1997,1997 Feb,Eur J Surg Oncol,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology
Southern Blot,"""Southern Blot""",9049632,1997,1997 Feb,Genome Res,Genome research
Southern Blot,"""Southern Blot""",9049628,1997,1997 Feb,Genome Res,Genome research
Southern Blot,"""Southern Blot""",9043110,1997,1997 Feb,Microbiology (Reading),"Microbiology (Reading, England)"
Southern Blot,"""Southern Blot""",9042431,1997,1997 Feb,Scand J Immunol,Scandinavian journal of immunology
Southern Blot,"""Southern Blot""",9039167,1997,1997 Feb,J Am Acad Dermatol,Journal of the American Academy of Dermatology
Southern Blot,"""Southern Blot""",9037760,1997,1997 Feb 1,FEMS Microbiol Lett,FEMS microbiology letters
Southern Blot,"""Southern Blot""",9033279,1997,1997 Feb,Am J Pathol,The American journal of pathology
Southern Blot,"""Southern Blot""",9029644,1997,1997 Feb,Pediatr Res,Pediatric research
Southern Blot,"""Southern Blot""",9029018,1997,1997 Feb,Br J Haematol,British journal of haematology
